Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Accelerating,146,73,63.8516,0.509544,64.5511,12.1812,52.3698
Accelerating,147,73.5,64.1049,0.506555,64.2935,12.2309,52.0626
Accelerating,148,74,64.3567,0.503601,64.0395,12.2805,51.759
Accelerating,149,74.5,64.607,0.500682,63.7889,12.3299,51.459
Accelerating,150,75,64.8559,0.497798,63.5417,12.3791,51.1626
Accelerating,151,75.5,65.1034,0.494948,63.2979,12.4283,50.8696
Accelerating,152,76,65.349,0.491156,62.9571,12.4772,50.4799
Accelerating,153,76.5,65.592,0.486086,62.4848,12.526,49.9589
Accelerating,154,77,65.8326,0.481119,62.0226,12.5743,49.4483
Accelerating,155,77.5,66.0707,0.47625,61.5702,12.6223,48.9479
Accelerating,156,78,66.3064,0.471476,61.1272,12.67,48.4572
Accelerating,157,78.5,66.5398,0.466794,60.6933,12.7172,47.9761
Accelerating,158,79,66.7709,0.462202,60.2683,12.7642,47.5041
Accelerating,159,79.5,66.9998,0.457696,59.8518,12.8108,47.041
Accelerating,160,80,67.2264,0.453275,59.4436,12.857,46.5866
Accelerating,161,80.5,67.4509,0.448935,59.0435,12.903,46.1406
Accelerating,162,81,67.6732,0.444674,58.6512,12.9486,45.7026
Accelerating,163,81.5,67.8935,0.44049,58.2664,12.9938,45.2726
Accelerating,164,82,68.1117,0.436381,57.889,13.0388,44.8502
Accelerating,165,82.5,68.3278,0.432343,57.5187,13.0834,44.4353
Accelerating,166,83,68.542,0.428376,57.1553,13.1278,44.0276
Accelerating,167,83.5,68.7543,0.424478,56.7987,13.1718,43.6269
Accelerating,168,84,68.9646,0.420646,56.4486,13.2155,43.233
Accelerating,169,84.5,69.173,0.416878,56.1048,13.259,42.8458
Accelerating,170,85,69.3796,0.413173,55.7672,13.3021,42.465
Accelerating,171,85.5,69.5844,0.40953,55.4356,13.345,42.0906
Accelerating,172,86,69.7874,0.405946,55.1098,13.3876,41.7222
Accelerating,173,86.5,69.9886,0.40242,54.7897,13.4299,41.3598
Accelerating,174,87,70.188,0.39895,54.4751,13.4719,41.0032
Coasting,175,87.5,70.1223,-0.131484,0,13.5136,-13.5136
Coasting,176,88,70.0566,-0.13135,0,13.4999,-13.4999
Coasting,177,88.5,69.991,-0.131216,0,13.4861,-13.4861
Coasting,178,89,69.9255,-0.131083,0,13.4724,-13.4724
Coasting,179,89.5,69.86,-0.13095,0,13.4587,-13.4587
Coasting,180,90,69.7946,-0.130816,0,13.445,-13.445
Coasting,181,90.5,69.7292,-0.130684,0,13.4314,-13.4314
Coasting,182,91,69.664,-0.130551,0,13.4177,-13.4177
Coasting,183,91.5,69.5988,-0.130419,0,13.4041,-13.4041
Coasting,184,92,69.5336,-0.130287,0,13.3906,-13.3906
Coasting,185,92.5,69.4685,-0.130155,0,13.377,-13.377
Coasting,186,93,69.4035,-0.130023,0,13.3635,-13.3635
Coasting,187,93.5,69.3386,-0.129892,0,13.35,-13.35
Coasting,188,94,69.2737,-0.12976,0,13.3365,-13.3365
Coasting,189,94.5,69.2089,-0.129629,0,13.323,-13.323
Coasting,190,95,69.1441,-0.129498,0,13.3096,-13.3096
Coasting,191,95.5,69.0795,-0.129368,0,13.2961,-13.2961
Coasting,192,96,69.0148,-0.129238,0,13.2828,-13.2828
Coasting,193,96.5,68.9503,-0.129107,0,13.2694,-13.2694
Coasting,194,97,68.8858,-0.128978,0,13.256,-13.256
Coasting,195,97.5,68.8214,-0.128848,0,13.2427,-13.2427
Coasting,196,98,68.757,-0.128718,0,13.2294,-13.2294
Coasting,197,98.5,68.6927,-0.128589,0,13.2161,-13.2161
Coasting,198,99,68.6285,-0.12846,0,13.2029,-13.2029
Coasting,199,99.5,68.5643,-0.128331,0,13.1896,-13.1896
Coasting,200,100,68.5002,-0.128203,0,13.1764,-13.1764
Coasting,201,100.5,68.4362,-0.128074,0,13.1632,-13.1632
Coasting,202,101,68.3722,-0.127946,0,13.15,-13.15
Coasting,203,101.5,68.3083,-0.127818,0,13.1369,-13.1369
Coasting,204,102,68.2445,-0.127691,0,13.1238,-13.1238
Coasting,205,102.5,68.1807,-0.127563,0,13.1107,-13.1107
Coasting,206,103,68.117,-0.127436,0,13.0976,-13.0976
Coasting,207,103.5,68.0533,-0.127309,0,13.0845,-13.0845
Coasting,208,104,67.9897,-0.127182,0,13.0715,-13.0715
Coasting,209,104.5,67.9262,-0.127055,0,13.0585,-13.0585
Coasting,210,105,67.8627,-0.126929,0,13.0455,-13.0455
Coasting,211,105.5,67.7993,-0.126803,0,13.0325,-13.0325
Coasting,212,106,67.736,-0.126677,0,13.0196,-13.0196
Coasting,213,106.5,67.6727,-0.126551,0,13.0066,-13.0066
Coasting,214,107,67.6095,-0.126425,0,12.9937,-12.9937
Coasting,215,107.5,67.5463,-0.1263,0,12.9808,-12.9808
Coasting,216,108,67.4833,-0.126175,0,12.968,-12.968
Coasting,217,108.5,67.4202,-0.12605,0,12.9551,-12.9551
Coasting,218,109,67.3573,-0.125925,0,12.9423,-12.9423
Coasting,219,109.5,67.2944,-0.125801,0,12.9295,-12.9295
Coasting,220,110,67.2315,-0.125676,0,12.9167,-12.9167
Coasting,221,110.5,67.1688,-0.125552,0,12.904,-12.904
Coasting,222,111,67.106,-0.125428,0,12.8913,-12.8913
Coasting,223,111.5,67.0434,-0.125305,0,12.8785,-12.8785
Coasting,224,112,66.9808,-0.125181,0,12.8659,-12.8659
Coasting,225,112.5,66.9183,-0.125058,0,12.8532,-12.8532
Coasting,226,113,66.8558,-0.124935,0,12.8405,-12.8405
Coasting,227,113.5,66.7934,-0.124812,0,12.8279,-12.8279
Coasting,228,114,66.731,-0.124689,0,12.8153,-12.8153
Coasting,229,114.5,66.6688,-0.124567,0,12.8027,-12.8027
Coasting,230,115,66.6065,-0.124445,0,12.7902,-12.7902
Coasting,231,115.5,66.5444,-0.124323,0,12.7776,-12.7776
Coasting,232,116,66.4823,-0.124201,0,12.7651,-12.7651
Coasting,233,116.5,66.4202,-0.124079,0,12.7526,-12.7526
Coasting,234,117,66.3583,-0.123958,0,12.7401,-12.7401
Coasting,235,117.5,66.2963,-0.123837,0,12.7276,-12.7276
Coasting,236,118,66.2345,-0.123716,0,12.7152,-12.7152
Coasting,237,118.5,66.1727,-0.123595,0,12.7028,-12.7028
Coasting,238,119,66.1109,-0.123474,0,12.6904,-12.6904
Coasting,239,119.5,66.0493,-0.123354,0,12.678,-12.678
Coasting,240,120,65.9877,-0.123233,0,12.6657,-12.6657
Coasting,241,120.5,65.9261,-0.123113,0,12.6533,-12.6533
Coasting,242,121,65.8646,-0.122994,0,12.641,-12.641
Coasting,243,121.5,65.8032,-0.122874,0,12.6287,-12.6287
Coasting,244,122,65.7418,-0.122755,0,12.6164,-12.6164
Coasting,245,122.5,65.6805,-0.122635,0,12.6042,-12.6042
Coasting,246,123,65.6192,-0.122516,0,12.592,-12.592
Coasting,247,123.5,65.558,-0.122397,0,12.5797,-12.5797
Coasting,248,124,65.4969,-0.122279,0,12.5675,-12.5675
Coasting,249,124.5,65.4358,-0.12216,0,12.5554,-12.5554
Coasting,250,125,65.3748,-0.122042,0,12.5432,-12.5432
Coasting,251,125.5,65.3138,-0.121924,0,12.5311,-12.5311
Coasting,252,126,65.2529,-0.121806,0,12.519,-12.519
Coasting,253,126.5,65.1921,-0.121689,0,12.5069,-12.5069
Coasting,254,127,65.1313,-0.121571,0,12.4948,-12.4948
Coasting,255,127.5,65.0706,-0.121454,0,12.4828,-12.4828
Coasting,256,128,65.0099,-0.121337,0,12.4707,-12.4707
Coasting,257,128.5,64.9493,-0.12122,0,12.4587,-12.4587
Accelerating,258,129,65.1962,0.493883,63.2069,12.4467,50.7602
Accelerating,259,129.5,65.4408,0.489234,62.778,12.4956,50.2824
Accelerating,260,130,65.6829,0.484203,62.3096,12.5442,49.7653
Accelerating,261,130.5,65.9226,0.479273,61.8511,12.5924,49.2586
Accelerating,262,131,66.1598,0.47444,61.4022,12.6403,48.7619
Accelerating,263,131.5,66.3946,0.469701,60.9627,12.6878,48.2749
Accelerating,264,132,66.6272,0.465054,60.5322,12.735,47.7972
Accelerating,265,132.5,66.8574,0.460495,60.1104,12.7818,47.3286
Accelerating,266,133,67.0854,0.456021,59.6971,12.8282,46.8688
Accelerating,267,133.5,67.3112,0.451631,59.292,12.8744,46.4176
Accelerating,268,134,67.5349,0.447321,58.8948,12.9202,45.9746
Accelerating,269,134.5,67.7564,0.443089,58.5054,12.9656,45.5397
Accelerating,270,135,67.9759,0.438933,58.1234,13.0108,45.1126
Accelerating,271,135.5,68.1933,0.434851,57.7487,13.0556,44.693
Accelerating,272,136,68.4088,0.430841,57.381,13.1002,44.2809
Accelerating,273,136.5,68.6222,0.4269,57.0202,13.1444,43.8758
