Phase,Iteration,Time,Total time,Distance,TotalDistance,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,44,0.49974,21.0369,6.1881,130.802,23.2153,1.07186,110.881,6.07719,104.804,4.62004,1.01287,15.8929,429.632,729.63,819.809,853.968,883.968,589.312,569.312
Accelerating,45,0.499737,21.5366,6.33703,137.139,23.751,1.07129,110.881,6.133,104.748,4.62004,1.02217,15.8929,439.544,746.465,838.725,873.672,903.672,602.448,582.448
Accelerating,46,0.499734,22.0363,6.48588,143.625,24.2863,1.07071,110.881,6.18942,104.692,4.62004,1.03157,15.8929,449.452,763.291,857.63,893.364,923.364,615.576,595.576
Accelerating,47,0.499731,22.5361,6.63465,150.26,24.8214,1.07013,110.881,6.24644,104.634,4.62004,1.04107,15.8929,459.354,780.107,876.525,913.046,943.046,628.698,608.698
Accelerating,48,0.499728,23.0358,6.78334,157.043,25.3561,1.06954,110.881,6.30408,104.577,4.62004,1.05068,15.8929,469.251,796.914,895.409,932.718,962.718,641.812,621.812
Accelerating,49,0.499725,23.5355,6.93194,163.975,25.8906,1.06894,110.881,6.36232,104.519,4.62004,1.06039,15.8929,479.142,813.712,914.283,952.378,982.378,654.919,634.919
Accelerating,50,0.499722,24.0352,7.08047,171.055,26.4248,1.06834,110.881,6.42116,104.46,4.62004,1.07019,15.8929,489.027,830.5,933.146,972.027,1002.03,668.018,648.018
Accelerating,51,0.499718,24.535,7.22891,178.284,26.9586,1.06773,110.881,6.48061,104.4,4.62004,1.0801,15.8929,498.907,847.279,951.999,991.665,1021.67,681.11,661.11
Accelerating,52,0.499715,25.0347,7.37727,185.662,27.4922,1.06712,110.881,6.54066,104.34,4.62004,1.09011,15.8929,508.781,864.048,970.84,1011.29,1041.29,694.195,674.195
Accelerating,53,0.499712,25.5344,7.52555,193.187,28.0255,1.0665,110.881,6.60131,104.28,4.62004,1.10022,15.8929,518.65,880.807,989.671,1030.91,1060.91,707.272,687.272
Accelerating,54,0.499709,26.0341,7.67373,200.861,28.5584,1.06587,110.881,6.66256,104.218,4.62004,1.11043,15.8929,528.513,897.557,1008.49,1050.51,1080.51,720.341,700.341
Accelerating,55,0.499706,26.5338,7.82184,208.683,29.091,1.06524,110.881,6.72441,104.157,4.62004,1.12074,15.8929,538.37,914.296,1027.3,1070.1,1100.1,733.402,713.402
Accelerating,56,0.499703,27.0335,7.96985,216.653,29.6233,1.0646,110.881,6.78686,104.094,4.62004,1.13114,15.8929,548.22,931.026,1046.1,1089.68,1119.68,746.456,726.456
Accelerating,57,0.4997,27.5332,8.11778,224.77,30.1553,1.06395,110.881,6.8499,104.031,4.62004,1.14165,15.8929,558.065,947.745,1064.88,1109.25,1139.25,759.502,739.502
Accelerating,58,0.499697,28.0329,8.26562,233.036,30.6869,1.0633,110.881,6.91353,103.967,4.62004,1.15225,15.8929,567.904,964.455,1083.66,1128.81,1158.81,772.54,752.54
Accelerating,59,0.499694,28.5326,8.41337,241.449,31.2183,1.06265,110.881,6.97775,103.903,4.62004,1.16296,15.8929,577.737,981.153,1102.42,1148.35,1178.35,785.569,765.569
Accelerating,60,0.499691,29.0323,8.56102,250.01,31.7493,1.06198,110.881,7.04257,103.838,4.62004,1.17376,15.8929,587.564,997.842,1121.17,1167.89,1197.89,798.591,778.591
Accelerating,61,0.499688,29.532,8.70859,258.719,32.2799,1.06131,110.881,7.10797,103.773,4.62004,1.18466,15.8929,597.385,1014.52,1139.91,1187.41,1217.41,811.604,791.604
Accelerating,62,0.499685,30.0317,8.85606,267.575,32.8102,1.06064,110.881,7.17396,103.707,4.62004,1.19566,15.8929,607.199,1031.19,1158.64,1206.91,1236.91,824.609,804.609
Accelerating,63,0.499682,30.5313,9.00345,276.578,33.3402,1.05996,110.881,7.24053,103.64,4.62004,1.20676,15.8929,617.007,1047.84,1177.35,1226.41,1256.41,837.606,817.606
Accelerating,64,0.499679,31.031,9.15073,285.729,33.8698,1.05927,110.881,7.30769,103.573,4.62004,1.21795,15.8929,626.808,1064.49,1196.06,1245.89,1275.89,850.594,830.594
Accelerating,65,0.499676,31.5307,9.29793,295.027,34.3991,1.05858,110.881,7.37544,103.505,4.62004,1.22924,15.8929,636.604,1081.12,1214.75,1265.36,1295.36,863.574,843.574
Accelerating,66,0.499673,32.0304,9.44502,304.472,34.9281,1.05788,110.881,7.44376,103.437,4.62004,1.24063,15.8929,646.392,1097.75,1233.43,1284.82,1314.82,876.545,856.545
Accelerating,67,0.49967,32.53,9.59202,314.064,35.4567,1.05718,110.881,7.51266,103.368,4.62004,1.25211,15.8929,656.175,1114.36,1252.09,1304.26,1334.26,889.508,869.508
Accelerating,68,0.499667,33.0297,9.73893,323.803,35.9776,1.04186,109.453,7.58214,101.871,4.56054,1.26369,15.6882,665.815,1116.17,1254.12,1306.38,1336.38,890.92,870.92
Accelerating,69,0.492756,33.5225,9.88573,333.689,36.4901,1.02494,107.868,7.65122,100.217,4.4945,1.2752,15.4611,675.299,1115.68,1253.57,1305.8,1335.8,890.535,870.535
Accelerating,70,0.491882,34.0143,10.0289,343.718,36.9944,1.00875,106.353,7.71977,98.6334,4.43138,1.28663,15.2439,684.633,1115.21,1253.05,1305.26,1335.26,890.173,870.173
Accelerating,71,0.4921,34.5064,10.1706,353.888,37.491,0.993225,104.903,7.78781,97.1153,4.37096,1.29797,15.0361,693.824,1114.78,1252.56,1304.75,1334.75,889.831,869.831
Accelerating,72,0.492305,34.9987,10.3102,364.198,37.9802,0.978323,103.514,7.85536,95.6582,4.31307,1.30923,14.8369,702.877,1114.36,1252.09,1304.26,1334.26,889.508,869.508
Accelerating,73,0.492498,35.4912,10.4476,374.646,38.4622,0.964002,102.18,7.92243,94.258,4.25752,1.32041,14.6459,711.797,1113.97,1251.65,1303.8,1333.8,889.202,869.202
Accelerating,74,0.492681,35.9839,10.583,385.229,38.9373,0.950224,100.9,7.98905,92.9108,4.20416,1.33151,14.4623,720.589,1113.6,1251.23,1303.37,1333.37,888.912,868.912
Accelerating,75,0.492854,36.4768,10.7164,395.946,39.4058,0.936956,99.6687,8.05521,91.6135,4.15286,1.34254,14.2858,729.259,1113.24,1250.84,1302.95,1332.95,888.636,868.636
Accelerating,76,0.493018,36.9698,10.848,406.794,39.8679,0.924165,98.4838,8.12095,90.3628,4.10349,1.35349,14.116,737.811,1112.91,1250.46,1302.56,1332.56,888.374,868.374
Accelerating,77,0.493174,37.463,10.9777,417.771,40.3238,0.911823,97.3423,8.18627,89.1561,4.05593,1.36438,13.9524,746.248,1112.59,1250.1,1302.19,1332.19,888.125,868.125
Accelerating,78,0.493323,37.9563,11.1056,428.877,40.7737,0.899904,96.2417,8.25118,87.9906,4.01007,1.3752,13.7947,754.575,1112.28,1249.76,1301.83,1331.83,887.887,867.887
Accelerating,79,0.493464,38.4498,11.2319,440.109,41.2179,0.888382,95.1797,8.3157,86.864,3.96582,1.38595,13.6424,762.795,1111.99,1249.43,1301.49,1331.49,887.66,867.66
