Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Coasting,213,106.5,67.7242,-0.126653,0,13.0171,-13.0171
Coasting,214,107,67.6609,-0.126528,0,13.0042,-13.0042
Coasting,215,107.5,67.5977,-0.126402,0,12.9913,-12.9913
Coasting,216,108,67.5346,-0.126277,0,12.9784,-12.9784
Coasting,217,108.5,67.4715,-0.126152,0,12.9656,-12.9656
Coasting,218,109,67.4085,-0.126027,0,12.9527,-12.9527
Coasting,219,109.5,67.3455,-0.125902,0,12.9399,-12.9399
Coasting,220,110,67.2826,-0.125778,0,12.9271,-12.9271
Coasting,221,110.5,67.2198,-0.125653,0,12.9144,-12.9144
Coasting,222,111,67.1571,-0.125529,0,12.9016,-12.9016
Coasting,223,111.5,67.0943,-0.125405,0,12.8889,-12.8889
Coasting,224,112,67.0317,-0.125282,0,12.8762,-12.8762
Coasting,225,112.5,66.9691,-0.125158,0,12.8635,-12.8635
Coasting,226,113,66.9066,-0.125035,0,12.8508,-12.8508
Coasting,227,113.5,66.8442,-0.124912,0,12.8382,-12.8382
Coasting,228,114,66.7818,-0.124789,0,12.8256,-12.8256
Coasting,229,114.5,66.7194,-0.124667,0,12.813,-12.813
Coasting,230,115,66.6572,-0.124544,0,12.8004,-12.8004
Coasting,231,115.5,66.5949,-0.124422,0,12.7878,-12.7878
Coasting,232,116,66.5328,-0.1243,0,12.7753,-12.7753
Coasting,233,116.5,66.4707,-0.124178,0,12.7628,-12.7628
Coasting,234,117,66.4087,-0.124057,0,12.7503,-12.7503
Coasting,235,117.5,66.3467,-0.123935,0,12.7378,-12.7378
Coasting,236,118,66.2848,-0.123814,0,12.7253,-12.7253
Coasting,237,118.5,66.223,-0.123693,0,12.7129,-12.7129
Coasting,238,119,66.1612,-0.123572,0,12.7005,-12.7005
Coasting,239,119.5,66.0994,-0.123452,0,12.6881,-12.6881
Coasting,240,120,66.0378,-0.123331,0,12.6757,-12.6757
Coasting,241,120.5,65.9762,-0.123211,0,12.6634,-12.6634
Coasting,242,121,65.9146,-0.123091,0,12.651,-12.651
Coasting,243,121.5,65.8531,-0.122971,0,12.6387,-12.6387
Coasting,244,122,65.7917,-0.122852,0,12.6264,-12.6264
Coasting,245,122.5,65.7303,-0.122732,0,12.6142,-12.6142
Coasting,246,123,65.669,-0.122613,0,12.6019,-12.6019
Coasting,247,123.5,65.6078,-0.122494,0,12.5897,-12.5897
Coasting,248,124,65.5466,-0.122375,0,12.5775,-12.5775
Coasting,249,124.5,65.4855,-0.122257,0,12.5653,-12.5653
Coasting,250,125,65.4244,-0.122138,0,12.5531,-12.5531
Coasting,251,125.5,65.3634,-0.12202,0,12.541,-12.541
Coasting,252,126,65.3024,-0.121902,0,12.5288,-12.5288
Coasting,253,126.5,65.2416,-0.121784,0,12.5167,-12.5167
Coasting,254,127,65.1807,-0.121667,0,12.5046,-12.5046
Coasting,255,127.5,65.1199,-0.121549,0,12.4926,-12.4926
Coasting,256,128,65.0592,-0.121432,0,12.4805,-12.4805
Coasting,257,128.5,64.9986,-0.121315,0,12.4685,-12.4685
Accelerating,258,129,65.2415,0.485928,62.3991,12.4565,49.9426
Accelerating,259,129.5,65.482,0.480959,61.9365,12.5046,49.4319
Accelerating,260,130,65.7201,0.476076,61.4825,12.5524,48.93
Accelerating,261,130.5,65.9557,0.471289,61.0379,12.5998,48.438
Accelerating,262,131,66.189,0.466595,60.6025,12.6469,47.9556
Accelerating,263,131.5,66.42,0.461991,60.1761,12.6937,47.4824
Accelerating,264,132,66.6487,0.457474,59.7582,12.7401,47.0182
Accelerating,265,132.5,66.8753,0.453042,59.3487,12.7861,46.5626
Accelerating,266,133,67.0996,0.448692,58.9474,12.8318,46.1155
