Speed,F Motor,P_vvvf,P_catenary,Catenary current,VVVFcurrent
67.6803,12.9505,1244.45,1274.45,849.634,829.634
67.8955,12.9947,1240.41,1270.41,846.939,826.939
68.1086,13.0387,1236.43,1266.43,844.285,824.285
68.3198,13.0823,1232.51,1262.51,841.674,821.674
68.529,13.1256,1228.65,1258.65,839.103,819.103
68.7364,13.1686,1224.86,1254.86,836.572,816.572
68.9418,13.2113,1221.12,1251.12,834.079,814.079
69.1455,13.2538,1217.44,1247.44,831.625,811.625
69.3473,13.2959,1213.81,1243.81,829.206,809.206
69.5473,13.3377,1210.24,1240.24,826.824,806.824
69.7456,13.3793,1206.71,1236.71,824.476,804.476
69.9421,13.4206,1203.24,1233.24,822.163,802.163
70.137,13.4616,1199.82,1229.82,819.883,799.883
70.0679,13.5024,0,30,20,0
69.9989,13.488,0,30,20,0
69.93,13.4735,0,30,20,0
69.8612,13.4591,0,30,20,0
69.7925,13.4448,0,30,20,0
69.7238,13.4304,0,30,20,0
69.6552,13.4161,0,30,20,0
69.5867,13.4018,0,30,20,0
69.5182,13.3875,0,30,20,0
69.4498,13.3733,0,30,20,0
69.3815,13.359,0,30,20,0
69.3133,13.3449,0,30,20,0
69.2451,13.3307,0,30,20,0
69.177,13.3165,0,30,20,0
69.109,13.3024,0,30,20,0
69.041,13.2883,0,30,20,0
68.9731,13.2743,0,30,20,0
68.9053,13.2602,0,30,20,0
68.8376,13.2462,0,30,20,0
68.7699,13.2322,0,30,20,0
68.7023,13.2182,0,30,20,0
68.6348,13.2043,0,30,20,0
68.5674,13.1904,0,30,20,0
68.5,13.1765,0,30,20,0
68.4327,13.1626,0,30,20,0
68.3654,13.1488,0,30,20,0
68.2983,13.135,0,30,20,0
68.2312,13.1212,0,30,20,0
68.1641,13.1074,0,30,20,0
68.0972,13.0937,0,30,20,0
68.0303,13.0799,0,30,20,0
67.9635,13.0662,0,30,20,0
67.8967,13.0526,0,30,20,0
67.8301,13.0389,0,30,20,0
67.7635,13.0253,0,30,20,0
67.6969,13.0117,0,30,20,0
67.6305,12.9981,0,30,20,0
67.5641,12.9846,0,30,20,0
67.4977,12.9711,0,30,20,0
67.4315,12.9576,0,30,20,0
67.3653,12.9441,0,30,20,0
67.2992,12.9306,0,30,20,0
67.2331,12.9172,0,30,20,0
67.1671,12.9038,0,30,20,0
67.1012,12.8904,0,30,20,0
67.0353,12.877,0,30,20,0
66.9696,12.8637,0,30,20,0
66.9039,12.8504,0,30,20,0
66.8382,12.8371,0,30,20,0
66.7726,12.8238,0,30,20,0
66.7071,12.8106,0,30,20,0
66.6417,12.7974,0,30,20,0
66.5763,12.7842,0,30,20,0
66.511,12.771,0,30,20,0
66.4458,12.7578,0,30,20,0
66.3806,12.7447,0,30,20,0
66.3155,12.7316,0,30,20,0
66.2505,12.7185,0,30,20,0
66.1855,12.7055,0,30,20,0
66.1206,12.6924,0,30,20,0
66.0557,12.6794,0,30,20,0
65.991,12.6664,0,30,20,0
65.9263,12.6535,0,30,20,0
65.8616,12.6405,0,30,20,0
65.797,12.6276,0,30,20,0
65.7325,12.6147,0,30,20,0
65.6681,12.6018,0,30,20,0
65.6037,12.589,0,30,20,0
65.5394,12.5761,0,30,20,0
65.4752,12.5633,0,30,20,0
65.411,12.5505,0,30,20,0
65.3469,12.5378,0,30,20,0
65.2828,12.525,0,30,20,0
65.2188,12.5123,0,30,20,0
65.1549,12.4996,0,30,20,0
65.0911,12.4869,0,30,20,0
65.0273,12.4743,0,30,20,0
64.9636,12.4616,0,30,20,0
64.8999,12.449,0,30,20,0
65.1421,12.4364,1292.27,1322.27,881.512,861.512
65.3822,12.4844,1289.39,1319.39,879.594,859.594
65.6199,12.532,1284.59,1314.59,876.393,856.393
65.8551,12.5793,1279.87,1309.87,873.249,853.249
66.088,12.6263,1275.24,1305.24,870.16,850.16
66.3185,12.6729,1270.69,1300.69,867.124,847.124
66.5468,12.7191,1266.21,1296.21,864.14,844.14
66.7728,12.765,1261.81,1291.81,861.206,841.206
66.9966,12.8106,1257.48,1287.48,858.322,838.322
67.2182,12.8559,1253.23,1283.23,855.485,835.485
67.4378,12.9008,1249.04,1279.04,852.695,832.695
67.6552,12.9454,1244.93,1274.93,849.95,829.95
67.8706,12.9896,1240.87,1270.87,847.249,827.249
68.084,13.0336,1236.89,1266.89,844.591,824.591
68.2954,13.0772,1232.96,1262.96,841.975,821.975
68.5048,13.1206,1229.1,1259.1,839.4,819.4
68.7124,13.1636,1225.3,1255.3,836.864,816.864
68.9181,13.2064,1221.55,1251.55,834.367,814.367
69.1219,13.2488,1217.86,1247.86,831.908,811.908
69.3239,13.291,1214.23,1244.23,829.485,809.485
69.5242,13.3329,1210.65,1240.65,827.099,807.099
69.7226,13.3745,1207.12,1237.12,824.747,804.747
69.9194,13.4158,1203.64,1233.64,822.43,802.43
70.1144,13.4569,1200.22,1230.22,820.146,800.146
70.0454,13.4977,0,30,20,0
69.9765,13.4832,0,30,20,0
69.9076,13.4688,0,30,20,0
69.8388,13.4544,0,30,20,0
69.7701,13.4401,0,30,20,0
69.7014,13.4257,0,30,20,0
69.6328,13.4114,0,30,20,0
69.5643,13.3971,0,30,20,0
69.4959,13.3829,0,30,20,0
69.4275,13.3686,0,30,20,0
69.3592,13.3544,0,30,20,0
69.291,13.3402,0,30,20,0
69.2229,13.3261,0,30,20,0
69.1548,13.3119,0,30,20,0
69.0868,13.2978,0,30,20,0
69.0189,13.2837,0,30,20,0
