Phase,Iteration,Time,Total time,Distance,TotalDistance,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,48,0.46617,21.333,6.28234,145.202,23.5,1.07152,110.881,6.1105,104.77,4.62004,1.01842,15.8929,434.9,723.806,738.578,829.862,864.44,894.44,596.293,576.293
Accelerating,49,0.466398,21.7994,6.42125,151.623,24,1.07098,110.881,6.1629,104.718,4.62004,1.02715,15.8929,444.153,739.206,754.292,847.519,882.832,912.832,608.555,588.555
Accelerating,50,0.466629,22.266,6.56015,158.183,24.5,1.07044,110.881,6.21587,104.665,4.62004,1.03598,15.8929,453.407,754.606,770.006,865.176,901.225,931.225,620.817,600.817
Accelerating,51,0.466862,22.7329,6.69906,164.882,25,1.06989,110.881,6.26938,104.612,4.62004,1.0449,15.8929,462.66,770.006,785.721,882.832,919.617,949.617,633.078,613.078
Accelerating,52,0.467098,23.2,6.83796,171.72,25.5,1.06934,110.881,6.32346,104.557,4.62004,1.05391,15.8929,471.913,785.407,801.435,900.489,938.009,968.009,645.34,625.34
Accelerating,53,0.467337,23.6673,6.97687,178.697,26,1.06878,110.881,6.37809,104.503,4.62004,1.06302,15.8929,481.166,800.807,817.15,918.146,956.402,986.402,657.601,637.601
Accelerating,54,0.467579,24.1349,7.11577,185.813,26.5,1.06821,110.881,6.43328,104.448,4.62004,1.07221,15.8929,490.419,816.207,832.864,935.802,974.794,1004.79,669.863,649.863
Accelerating,55,0.467824,24.6027,7.25468,193.067,27,1.06764,110.881,6.48903,104.392,4.62004,1.08151,15.8929,499.672,831.607,848.579,953.459,993.186,1023.19,682.124,662.124
Accelerating,56,0.468071,25.0708,7.39358,200.461,27.5,1.06707,110.881,6.54534,104.336,4.62004,1.09089,15.8929,508.926,847.007,864.293,971.116,1011.58,1041.58,694.386,674.386
Accelerating,57,0.468321,25.5391,7.53249,207.993,28,1.06649,110.881,6.6022,104.279,4.62004,1.10037,15.8929,518.179,862.407,880.007,988.772,1029.97,1059.97,706.647,686.647
Accelerating,58,0.468573,26.0077,7.67139,215.665,28.5,1.0659,110.881,6.65963,104.221,4.62004,1.10994,15.8929,527.432,877.807,895.722,1006.43,1048.36,1078.36,718.909,698.909
Accelerating,59,0.468829,26.4765,7.8103,223.475,29,1.06531,110.881,6.7176,104.163,4.62004,1.1196,15.8929,536.685,893.207,911.436,1024.09,1066.76,1096.76,731.171,711.171
Accelerating,60,0.469087,26.9456,7.94921,231.424,29.5,1.06471,110.881,6.77614,104.105,4.62004,1.12936,15.8929,545.938,908.608,927.151,1041.74,1085.15,1115.15,743.432,723.432
Accelerating,61,0.469348,27.415,8.08811,239.512,30,1.0641,110.881,6.83524,104.046,4.62004,1.13921,15.8929,555.192,924.008,942.865,1059.4,1103.54,1133.54,755.694,735.694
Accelerating,62,0.469612,27.8846,8.22702,247.74,30.5,1.06349,110.881,6.89489,103.986,4.62004,1.14915,15.8929,564.445,939.408,958.579,1077.06,1121.93,1151.93,767.955,747.955
Accelerating,63,0.469879,28.3545,8.36593,256.105,31,1.06288,110.881,6.9551,103.926,4.62004,1.15918,15.8929,573.698,954.808,974.294,1094.71,1140.33,1170.33,780.217,760.217
Accelerating,64,0.470149,28.8246,8.50483,264.61,31.5,1.06226,110.881,7.01587,103.865,4.62004,1.16931,15.8929,582.951,970.208,990.008,1112.37,1158.72,1188.72,792.478,772.478
Accelerating,65,0.470421,29.295,8.64374,273.254,32,1.06163,110.881,7.07719,103.804,4.62004,1.17953,15.8929,592.204,985.608,1005.72,1130.03,1177.11,1207.11,804.74,784.74
Accelerating,66,0.470696,29.7657,8.78265,282.037,32.5,1.061,110.881,7.13907,103.742,4.62004,1.18985,15.8929,601.458,1001.01,1021.44,1147.68,1195.5,1225.5,817.001,797.001
Accelerating,67,0.470974,30.2367,8.92156,290.958,33,1.06036,110.881,7.20151,103.679,4.62004,1.20025,15.8929,610.711,1016.41,1037.15,1165.34,1213.89,1243.89,829.263,809.263
Accelerating,68,0.471255,30.7079,9.06046,300.019,33.5,1.05971,110.881,7.26451,103.616,4.62004,1.21075,15.8929,619.964,1031.81,1052.87,1183,1232.29,1262.29,841.525,821.525
Accelerating,69,0.471539,31.1795,9.19937,309.218,34,1.05906,110.881,7.32807,103.553,4.62004,1.22134,15.8929,629.217,1047.21,1068.58,1200.65,1250.68,1280.68,853.786,833.786
Accelerating,70,0.471826,31.6513,9.33828,318.556,34.5,1.05841,110.881,7.39218,103.489,4.62004,1.23203,15.8929,638.47,1062.61,1084.29,1218.31,1269.07,1299.07,866.048,846.048
Accelerating,71,0.472115,32.1234,9.47719,328.034,35,1.05775,110.881,7.45685,103.424,4.62004,1.24281,15.8929,647.724,1078.01,1100.01,1235.97,1287.46,1317.46,878.309,858.309
Accelerating,72,0.472408,32.5958,9.6161,337.65,35.5,1.05708,110.881,7.52208,103.359,4.62004,1.25368,15.8929,656.977,1093.41,1115.72,1253.62,1305.86,1335.86,890.571,870.571
Accelerating,73,0.472703,33.0685,9.75501,347.405,36,1.04043,109.319,7.58786,101.731,4.55497,1.26464,15.6691,666.23,1093.19,1115.5,1253.37,1305.6,1335.6,890.398,870.398
Accelerating,74,0.473001,33.5415,9.89392,357.299,36.5,1.02423,107.801,7.65421,100.147,4.4917,1.2757,15.4515,675.483,1092.98,1115.29,1253.13,1305.35,1335.35,890.23,870.23
Accelerating,75,0.480569,34.0221,10.0323,367.331,37,1.00844,106.324,7.72111,98.6031,4.43017,1.28685,15.2398,684.736,1092.78,1115.08,1252.9,1305.1,1335.1,890.067,870.067
Accelerating,76,0.488173,34.5103,10.1717,377.503,37.5,0.993056,104.887,7.78857,97.0988,4.37031,1.29809,15.0339,693.99,1092.58,1114.87,1252.67,1304.86,1334.86,889.908,869.908
Accelerating,77,0.495815,35.0061,10.3112,387.814,38,0.978057,103.489,7.85658,95.6323,4.31204,1.30943,14.8334,703.243,1092.38,1114.68,1252.44,1304.63,1334.63,889.753,869.753
Accelerating,78,0.503496,35.5096,10.4506,398.264,38.5,0.96343,102.127,7.92516,94.202,4.2553,1.32086,14.6382,712.496,1092.19,1114.48,1252.23,1304.4,1334.4,889.603,869.603
Accelerating,79,0.511217,36.0208,10.59,408.854,39,0.949158,100.801,7.99429,92.8066,4.20004,1.33238,14.4481,721.749,1092.01,1114.3,1252.02,1304.18,1334.18,889.456,869.456
Accelerating,80,0.518979,36.5398,10.7294,419.584,39.5,0.935228,99.5085,8.06398,91.4445,4.14619,1.344,14.2629,731.002,1091.83,1114.11,1251.81,1303.97,1333.97,889.313,869.313
Accelerating,81,0.526783,37.0666,10.8688,430.453,40,0.921628,98.2489,8.13423,90.1147,4.09371,1.3557,14.0823,740.256,1091.65,1113.93,1251.61,1303.76,1333.76,889.174,869.174
Accelerating,82,0.534629,37.6012,11.0083,441.461,40.5,0.908343,97.0208,8.20503,88.8158,4.04253,1.36751,13.9063,749.509,1091.48,1113.76,1251.41,1303.56,1333.56,889.038,869.038
