Phase,Iteration,Time (s),Total time (s),Distance (m),TotalDistance (m),Odo (m),Braking Distance,Slope,Radius,Speed (km/h),Speed Limit(km/h),Speed (m/s),Acceleration (km/h/s),Acceleration (m/s2),F Motor,F Res,F Total,F Motor /TM,F Res / TM,Torque,RPM,P Wheel,P_motor Out,P_motor In,P_vvvf,P_catenary,Catenary current,VVVF current,Energy Consumption,Energy of Powering,Energy of APS,Energy Catenary,Run res at 0,Run res at 5,Run res at 10,Run res at 25
Coasting,1817,1,1817,19.135159986627503,28216.27699293623,6950.009055815609,192.2257366679565,0,2000,68.81835104083542,70,19.116208622454312,-0.1367422829156225,-0.037983967476561804,0,13.25640464932007,-13.25640464932007,0,0.5523501937216696,0,1273.579156230493,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1818,1,1818,19.097216638716002,28235.374209574944,6969.106272454325,191.31539102402937,0,2000,68.6819001673207,70,19.078305602033556,-0.1364508735147219,-0.037903020420756085,0,13.228154126843874,-13.228154126843874,0,0.5511730886184948,0,1271.053943322461,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1819,1,1819,19.05935409182315,28254.433563666767,6988.165626546149,190.41058441608146,0,2000,68.54573965173934,70,19.040483236594287,-0.1361605155813639,-0.03782236543926775,0,13.200005538304445,-13.200005538304445,0,0.5500002307626852,0,1268.534103891215,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1820,1,1820,19.021572053874625,28273.455135720644,7007.187198600023,189.5112797737089,0,2000,68.40986845947522,70,19.00274123874314,-0.1358711922641203,-0.03774199785114453,0,13.17195725004944,-13.17195725004944,0,0.5488315520853934,0,1266.0196187897475,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1821,1,1821,18.983870239817545,28292.439005960463,7026.171068839841,188.617440387185,0,2000,68.27428554467794,70,18.96507931796612,-0.13558291479727655,-0.03766192077702126,0,13.144010351180421,-13.144010351180421,0,0.5476670979658509,0,1263.5104686631432,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1822,1,1822,18.946248357577584,28311.38525431804,7045.117317197418,187.7290297199869,0,2000,68.13898986711425,70,18.927497185309537,-0.13529567756368993,-0.03758213265658054,0,13.116164297146607,-13.116164297146607,0,0.546506845714442,0,1261.006634260442,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1823,1,1823,18.908706118981222,28330.293960437022,7064.026023316399,186.84601151842745,0,2000,68.00398039216803,70,18.88999455338003,-0.1350094749462177,-0.03750263192950492,0,13.088418543397218,-13.088418543397218,0,0.5453507726415507,0,1258.508096434636,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1824,1,1824,18.871243237415257,28349.165203674438,7082.897266553814,185.96834980934182,0,2000,67.8692561062415,70,18.852571140622658,-0.13472428592654093,-0.03742341275737248,0,13.060771052322997,-13.060771052322997,0,0.5441987938467915,0,1256.0148364276904,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1825,1,1825,18.83385943424395,28367.99906310868,7101.731125988058,185.0960089973178,0,2000,67.73481599011969,70,18.815226663922157,-0.1344401161218024,-0.037344476700500666,0,13.033222368474732,-13.033222368474732,0,0.5430509320197805,0,1253.5268353776166,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1826,1,1826,18.796554425571884,28386.79561753425,7120.52768041363,184.22895368900942,0,2000,67.60065902042079,70,18.777960839005797,-0.13415696969889276,-0.0372658249163591,0,13.005772895809327,-13.005772895809327,0,0.5419072039920553,0,1251.0440743453132,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
