Phase,Iteration,Time,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_wheel,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,76,38,40.3238,0.911823,97.3423,8.18627,89.1561,4.05593,1.36438,13.9524,746.248,1090.34,1112.59,1250.1,1302.19,1332.19,888.125,868.125
Accelerating,77,38.5,40.7737,0.899904,96.2417,8.25118,87.9906,4.01007,1.3752,13.7947,754.575,1090.04,1112.28,1249.76,1301.83,1331.83,887.887,867.887
Accelerating,78,39,41.2179,0.888382,95.1797,8.3157,86.864,3.96582,1.38595,13.6424,762.795,1089.75,1111.99,1249.43,1301.49,1331.49,887.66,867.66
Accelerating,79,39.5,41.6566,0.877235,94.154,8.37983,85.7741,3.92308,1.39664,13.4954,770.912,1089.48,1111.71,1249.12,1301.16,1331.16,887.443,867.443
Accelerating,80,40,42.0898,0.866444,93.1626,8.4436,84.719,3.88177,1.40727,13.3533,778.93,1089.22,1111.45,1248.82,1300.85,1330.85,887.236,867.236
Accelerating,81,40.5,42.5178,0.855989,92.2037,8.507,83.6967,3.84182,1.41783,13.2159,786.85,1088.97,1111.19,1248.53,1300.56,1330.56,887.037,867.037
Accelerating,82,41,42.9407,0.845852,91.2755,8.57004,82.7055,3.80315,1.42834,13.0828,794.677,1088.73,1110.95,1248.26,1300.27,1330.27,886.847,866.847
Accelerating,83,41.5,43.3587,0.836016,90.3766,8.63274,81.7438,3.76569,1.43879,12.954,802.413,1088.5,1110.72,1248,1300,1330,886.665,866.665
Accelerating,84,42,43.7719,0.826467,89.5053,8.69511,80.8102,3.72939,1.44918,12.8291,810.061,1088.28,1110.49,1247.74,1299.73,1329.73,886.489,866.489
Accelerating,85,42.5,44.1805,0.817191,88.6603,8.75714,79.9031,3.69418,1.45952,12.708,817.622,1088.07,1110.28,1247.5,1299.48,1329.48,886.321,866.321
Accelerating,86,43,44.5846,0.808174,87.8403,8.81885,79.0215,3.66001,1.46981,12.5904,825.1,1087.87,1110.07,1247.27,1299.24,1329.24,886.16,866.16
Accelerating,87,43.5,44.9843,0.799404,87.0442,8.88025,78.1639,3.62684,1.48004,12.4763,832.497,1087.67,1109.87,1247.05,1299.01,1329.01,886.004,866.004
Accelerating,88,44,45.3798,0.790869,86.2708,8.94134,77.3294,3.59462,1.49022,12.3655,839.815,1087.49,1109.68,1246.83,1298.78,1328.78,885.854,865.854
Accelerating,89,44.5,45.771,0.782559,85.519,9.00213,76.5169,3.56329,1.50036,12.2577,847.057,1087.3,1109.49,1246.62,1298.56,1328.56,885.71,865.71
Accelerating,90,45,46.1583,0.774464,84.7879,9.06262,75.7253,3.53283,1.51044,12.1529,854.223,1087.13,1109.32,1246.42,1298.36,1328.36,885.571,865.571
Accelerating,91,45.5,46.5416,0.766573,84.0766,9.12283,74.9538,3.50319,1.52047,12.051,861.316,1086.96,1109.14,1246.23,1298.15,1328.15,885.436,865.436
Accelerating,92,46,46.921,0.758879,83.3842,9.18274,74.2015,3.47434,1.53046,11.9517,868.338,1086.8,1108.98,1246.04,1297.96,1327.96,885.307,865.307
Accelerating,93,46.5,47.2967,0.751373,82.7099,9.24239,73.4675,3.44625,1.5404,11.8551,875.291,1086.64,1108.82,1245.86,1297.77,1327.77,885.182,865.182
Accelerating,94,47,47.6687,0.744046,82.0529,9.30175,72.7512,3.41887,1.55029,11.7609,882.176,1086.49,1108.66,1245.69,1297.59,1327.59,885.061,865.061
Accelerating,95,47.5,48.0372,0.736893,81.4126,9.36085,72.0517,3.39219,1.56014,11.6691,888.994,1086.34,1108.51,1245.52,1297.42,1327.42,884.943,864.943
